2026-08-12 02:42:09 status installed libselinux1:amd64 3.8.1-1
2026-08-12 02:42:10 configure libpam0g:amd64 1.7.0-5 <none>
2026-08-12 02:42:10 status unpacked libpam0g:amd64 1.7.0-5
2026-08-12 02:42:10 status half-configured libpam0g:amd64 1.7.0-5
2026-08-12 02:42:10 status installed libpam0g:amd64 1.7.0-5
2026-08-12 02:42:10 configure sed:amd64 4.9-2+deb13u1 <none>
2026-08-12 02:42:10 status unpacked sed:amd64 4.9-2+deb13u1
2026-08-12 02:42:10 status half-configured sed:amd64 4.9-2+deb13u1
2026-08-12 02:42:10 status installed sed:amd64 4.9-2+deb13u1
2026-08-12 02:42:10 configure findutils:amd64 4.10.0-3 <none>
2026-08-12 02:42:10 status unpacked findutils:amd64 4.10.0-3
2026-08-12 02:42:10 status half-configured findutils:amd64 4.10.0-3
2026-08-12 02:42:10 status installed findutils:amd64 4.10.0-3
2026-08-12 02:42:10 configure libmount1:amd64 2.41-5 <none>
2026-08-12 02:42:10 status unpacked libmount1:amd64 2.41-5
2026-08-12 02:42:10 status half-configured libmount1:amd64 2.41-5
2026-08-12 02:42:10 status installed libmount1:amd64 2.41-5
2026-08-12 02:42:10 configure libsemanage2:amd64 3.8.1-1 <none>
2026-08-12 02:42:10 status unpacked libsemanage2:amd64 3.8.1-1
2026-08-12 02:42:10 status half-configured libsemanage2:amd64 3.8.1-1
2026-08-12 02:42:10 status installed libsemanage2:amd64 3.8.1-1
2026-08-12 02:42:10 configure libapt-pkg7.0:amd64 3.0.3 <none>
2026-08-12 02:42:10 status unpacked libapt-pkg7.0:amd64 3.0.3
2026-08-12 02:42:10 status half-configured libapt-pkg7.0:amd64 3.0.3
2026-08-12 02:42:10 status installed libapt-pkg7.0:amd64 3.0.3
2026-08-12 02:42:10 configure base-passwd:amd64 3.6.7 <none>
2026-08-12 02:42:10 status unpacked base-passwd:amd64 3.6.7
2026-08-12 02:42:10 status half-configured base-passwd:amd64 3.6.7
2026-08-12 02:42:10 status installed base-passwd:amd64 3.6.7
2026-08-12 02:42:10 configure apt:amd64 3.0.3 <none>
2026-08-12 02:42:10 status unpacked apt:amd64 3.0.3
2026-08-12 02:42:10 status half-configured apt:amd64 3.0.3
2026-08-12 02:42:10 status installed apt:amd64 3.0.3
2026-08-12 02:42:10 configure bsdutils:amd64 1:2.41-5 <none>
2026-08-12 02:42:10 status unpacked bsdutils:amd64 1:2.41-5
2026-08-12 02:42:10 status half-configured bsdutils:amd64 1:2.41-5
2026-08-12 02:42:10 status installed bsdutils:amd64 1:2.41-5
2026-08-12 02:42:10 configure tar:amd64 1.35+dfsg-3.1 <none>
2026-08-12 02:42:10 status unpacked tar:amd64 1.35+dfsg-3.1
2026-08-12 02:42:10 status half-configured tar:amd64 1.35+dfsg-3.1
2026-08-12 02:42:10 status installed tar:amd64 1.35+dfsg-3.1
2026-08-12 02:42:10 configure libpam-modules-bin:amd64 1.7.0-5 <none>
2026-08-12 02:42:10 status unpacked libpam-modules-bin:amd64 1.7.0-5
2026-08-12 02:42:10 status half-configured libpam-modules-bin:amd64 1.7.0-5
2026-08-12 02:42:10 status installed libpam-modules-bin:amd64 1.7.0-5
2026-08-12 02:42:10 configure coreutils:amd64 9.7-3 <none>
2026-08-12 02:42:10 status unpacked coreutils:amd64 9.7-3
2026-08-12 02:42:10 status half-configured coreutils:amd64 9.7-3
2026-08-12 02:42:11 status installed coreutils:amd64 9.7-3
2026-08-12 02:42:11 configure dpkg:amd64 1.22.22 <none>
2026-08-12 02:42:11 status unpacked dpkg:amd64 1.22.22
2026-08-12 02:42:11 status half-configured dpkg:amd64 1.22.22
2026-08-12 02:42:11 status installed dpkg:amd64 1.22.22
2026-08-12 02:42:11 configure mount:amd64 2.41-5 <none>
2026-08-12 02:42:11 status unpacked mount:amd64 2.41-5
2026-08-12 02:42:11 status half-configured mount:amd64 2.41-5
2026-08-12 02:42:11 status installed mount:amd64 2.41-5
2026-08-12 02:42:11 configure libpam-modules:amd64 1.7.0-5 <none>
2026-08-12 02:42:11 status unpacked libpam-modules:amd64 1.7.0-5
2026-08-12 02:42:11 status half-configured libpam-modules:amd64 1.7.0-5
2026-08-12 02:42:11 status installed libpam-modules:amd64 1.7.0-5
2026-08-12 02:42:11 configure passwd:amd64 1:4.17.4-2 <none>
2026-08-12 02:42:11 status unpacked passwd:amd64 1:4.17.4-2
2026-08-12 02:42:11 status half-configured passwd:amd64 1:4.17.4-2
2026-08-12 02:42:11 status installed passwd:amd64 1:4.17.4-2
2026-08-12 02:42:11 configure libpam-runtime:all 1.7.0-5 <none>
2026-08-12 02:42:11 status unpacked libpam-runtime:all 1.7.0-5
2026-08-12 02:42:11 status half-configured libpam-runtime:all 1.7.0-5
2026-08-12 02:42:11 status installed libpam-runtime:all 1.7.0-5
2026-08-12 02:42:11 configure login:amd64 1:4.16.0-2+really2.41-5 <none>
2026-08-12 02:42:11 status unpacked login:amd64 1:4.16.0-2+really2.41-5
2026-08-12 02:42:11 status half-configured login:amd64 1:4.16.0-2+really2.41-5
2026-08-12 02:42:11 status installed login:amd64 1:4.16.0-2+really2.41-5
2026-08-12 02:42:11 configure util-linux:amd64 2.41-5 <none>
2026-08-12 02:42:11 status unpacked util-linux:amd64 2.41-5
2026-08-12 02:42:11 status half-configured util-linux:amd64 2.41-5
2026-08-12 02:42:12 status installed util-linux:amd64 2.41-5
2026-08-12 02:42:12 trigproc libc-bin:amd64 2.41-12+deb13u3 <none>
